OtherPlace_ID,OtherPlace_Name,OtherPlace_Type,OtherPlace_City,OtherPlace_Region
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20025,Palazzo degli Uffici Finanziari o del Genio Civile,Monumento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cosenza,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100819,Museo parrocchiale di Challand-Saint-Victor,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Challand-Saint-Victor,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Valle_d_Aosta_Vallee_d_Aoste
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/153562,Parco archeologico dell'Appia antica - Acquedotto dei Quintili,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103285,Cattedrale di Siena e libreria Piccolomini,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Siena,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20550,Basiliche paleocristiane,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Verona,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20773,Piramide di Caio Cestio,Monumento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107194,Lavatoi pubblici dei Servi (o del Barabino),Architettura Civile,http://dati.beniculturali.it/mibact/luoghi/resource/City/Genova,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20387,Gallerie degli Uffizi - Giardino di Boboli,Parco o Giardino di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Firenze,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/140293,Arciconfraternita di San Giovanni Decollato,Monumento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106482,Roccavivara - S. Maria del Canneto - Villa Romana,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roccavivara,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Molise
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20619,Area archeologica di Costa Balenae,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Riva_Ligure,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110824,Santa Maria in Valle Porclaneta,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Magliano_de__Marsi,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20028,Palazzo della Prefettura,Monumento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Reggio_di_Calabria,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/105030,Museo diocesano d’arte sacra di Ales,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ales,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107220,Palazzo del Comune,Architettura Civile,http://dati.beniculturali.it/mibact/luoghi/resource/City/Noli,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20142,Procuratie nuove - ex Palazzo reale,Monumento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Venezia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110813,Duomo di Santa Maria Maggiore,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Guardiagrele,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103087,Villa Mansi,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Capannori,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110061,Collezione Acton - Villa La Pietra,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Firenze,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/130754,Parco Archeologico e Museo dell'Area Megalitica di Saint Martin de Corléans,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Aosta,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Valle_d_Aosta_Vallee_d_Aoste
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20499,Castrum bizantino longobardo Varigotti,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Finale_Ligure,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/121898,Castello Sforzesco,Architettura Fortificata,http://dati.beniculturali.it/mibact/luoghi/resource/City/Milano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20615,Grotta Porcina,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Vetralla,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
