Archive_ID,Archive_Name,Archive_City,Archive_Region,Archive_Latitude,Archive_Longitude,Ticket_Cost
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/143832,Archivio di Stato di Ravenna,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ravenna,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.42035,12.19539,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110914,Archivio di Stato di Rovigo,http://dati.beniculturali.it/mibact/luoghi/resource/City/Rovigo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto,45.067497,11.791019,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116636,Archivio di Stato di Asti,http://dati.beniculturali.it/mibact/luoghi/resource/City/Asti,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,44.895737,8.199068,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/128686,Archivio di Stato di Parma,http://dati.beniculturali.it/mibact/luoghi/resource/City/Parma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.803387,10.319287,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/126364,Archivio di Stato di La Spezia,http://dati.beniculturali.it/mibact/luoghi/resource/City/La_Spezia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,44.114082,9.826226,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/126367,Archivio di Stato di Potenza,http://dati.beniculturali.it/mibact/luoghi/resource/City/Potenza,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,40.635277,15.806273,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136272,Archivio di Stato dell'Aquila. Sezione di Avezzano,http://dati.beniculturali.it/mibact/luoghi/resource/City/Avezzano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,42.02814,13.425312,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20684,Archivio di Stato di Prato,http://dati.beniculturali.it/mibact/luoghi/resource/City/Prato,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,43.880455,11.095691,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/122173,Archivio di Stato di Siracusa,http://dati.beniculturali.it/mibact/luoghi/resource/City/Siracusa,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,37.09222,15.279879,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116719,Archivio di Stato di Cremona,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cremona,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.139275,10.022932,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116659,Archivio di Stato di Como,http://dati.beniculturali.it/mibact/luoghi/resource/City/Como,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.80579,9.097112,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20705,Archivio di Stato di Benevento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Benevento,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,41.132366,14.777433,Free Entry
